科幻,#genre#
Resident Evil Apocalypse/2004,https://api.heimuer.app/play/870faa063944490883e9fe57a51f10d3.m3u8
Resident Evil Extinction/2007,https://api.heimuer.app/play/62ee462b589e40cd852f8bf05e0a73fd.m3u8
Riddick: Pitch Black/2000,https://vip.ffzy-play6.com/20221019/125_6bdcfbf3/index.m3u8
Riddick: The Chronicles of Riddick/2004,https://vip.ffzy-play6.com/20221019/126_de2ed62b/index.m3u8
Rise Of The Planet Of The Apes/2011,https://vip.ffzy-play7.com/20221229/10364_613713b0/index.m3u8
Serenity/2005,https://vip.ffzy-play6.com/20221021/637_b5837587/index.m3u8
Short Circuit/1986,https://vip.ffzy-play7.com/20230118/11921_bcbde71f/index.m3u8
Signs/2002,https://api.heimuer.app/play/2943a54352814a21ba082823f2bd0083.m3u8
Skyline/2010,https://vip.ffzy-play6.com/20221022/988_81da1c82/index.m3u8
Source Code/2011,https://vip.ffzy-play7.com/20230219/15388_68f6be8c/index.m3u8
Star Trek/2009,https://api.heimuer.app/play/fd363c74e8a943dab6904fca4d1fec38.m3u8
Star Trek Into Darkness/2013,https://api.heimuer.app/play/7ec840ca999c4b5097acd0e773d29daa.m3u8
Star Trek Beyond/2016,https://api.heimuer.app/play/23b3f92a6e064440b37868bb7bf3c013.m3u8
Star Wars: Episode IV - A New Hope/1977,https://api.heimuer.app/play/df883239d44f462faf24c334f9b05cd7.m3u8
Stargate/1994,https://vip.ffzy-play7.com/20230216/14962_16720f27/index.m3u8
Starship Troopers/1997,https://vip.ffzy-play7.com/20230217/14994_a6b8a82c/index.m3u8
Starship Troopers 2: Hero Of The Federation/2004,https://vip.ffzy-online1.com/20230630/41951_fcca8cf2/index.m3u8
Starship Troopers 3: Marauder/2008,https://vip.ffzy-online1.com/20230608/41021_9103521f/index.m3u8
Stealth/2005,https://vip.ffzy-play7.com/20230214/14688_9dc3e191/index.m3u8
Superman/1978,https://vip.ffzy-online1.com/20230627/41817_ba887548/index.m3u8
Superman 2/1980,https://vip.ffzy-play7.com/20221115/4426_97d9b572/index.m3u8
Superman 3/1983,https://vip.ffzy-play7.com/20221117/4981_6139fb9f/index.m3u8
Surrogates/2009,https://vip3.49zyvideoplayurl.com/20231010/QOu9yPi7/index.m3u8
Terminator 2/1991,https://vip.ffzy-play7.com/20230219/15391_e0dd8424/index.m3u8
The Day After Tomorrow/2004,https://vip.ffzy-play7.com/20230213/14532_9579e3bd/index.m3u8
The Fifth Element/1997,https://vip.ffzy-play7.com/20230219/15346_0d9fb392/index.m3u8
The Final Countdown/1980,https://vip.ffzy-play7.com/20230506/24054_ede29b64/index.m3u8
The Island/2005,https://vip.ffzy-play6.com/20221019/110_9973459c/index.m3u8
The Invasion/2007,https://vip.ffzy-play6.com/20221031/3024_2ab7f1b0/index.m3u8
The Martian/2015,https://api.heimuer.app/play/83b9b2cbd05a42b78b61edb7b4c95ed8.m3u8
The Matrix/1999,https://api.heimuer.app/play/edec1224fa0748edb83fa4b1f25950e8.m3u8
The Matrix 2/2003,https://api.heimuer.app/play/22bee3f145414688a8835d5112b466bc.m3u8
The Matrix 3/2003,https://api.heimuer.app/play/4207547ceb0f4df2b260cfc54e1d0a09.m3u8
The Mummy/1999,https://vip.ffzy-play7.com/20221102/873_b6e5b44d/index.m3u8
The Mummy/2017,https://api.heimuer.app/play/a28d3fa130cb45dc850170808a4bd159.m3u8
The Mummy Returns/2001,https://vip.ffzy-play6.com/20221018/49_4a41ef7f/index.m3u8
The Mummy: Tomb Of The Dragon Emperor/2008,https://vip.ffzy-play2.com/20221022/310_7ceecf78/index.m3u8
The Thirteenth Floor/1999,https://vip.ffzy-play7.com/20230213/14612_d216663e/index.m3u8
The Time Machine/1960,https://vip.ffzy-play7.com/20230218/15172_d3ff9747/index.m3u8
The Time Machine/2002,https://vip1.lz-cdn7.com/20230128/13848_eb8f3dad/index.m3u8
Total Recall/1990,https://vip.ffzy-play6.com/20221113/6695_1c4c8c80/index.m3u8
Transcendence/2014,https://vip.ffzy-play6.com/20221028/2414_ab5bbed6/index.m3u8
Underworld/2003,https://api.heimuer.app/play/e5f7349d41cc49a18be70863b0bf5c7b.m3u8
Underworld: Evolution/2006,https://api.heimuer.app/play/f24e536ed38b404ab608ed31c4b45de5.m3u8
Upgrade/2018,https://api.heimuer.app/play/c315e92d8f0f406b9499557fb833c17c.m3u8
Virtuosity/1995,https://vip.ffzy-play7.com/20230213/14624_bcd17c73/index.m3u8
Warcraft/2016,https://vip.ffzy-play7.com/20221224/9708_77f6c104/index.m3u8
Waterworld/1995,https://vip.ffzy-play6.com/20221112/6171_70ba8523/index.m3u8
World War Z/2013,https://vip.ffzy-play7.com/20230219/15222_3a7feacc/index.m3u8
X-Men/2000,https://vip.ffzy-play7.com/20221126/7059_4093eddf/index.m3u8

动作,#genre#
A计划/1983,https://api.heimuer.app/play/e11f70e0a51d4872a53f2599e0dd94ff.m3u8
A计划续集/1987,https://api.heimuer.app/play/c858846ddd76490797fef517bf322097.m3u8
暗战/1999,https://api.heimuer.app/play/98a4d7f89a4844a49096237cdd3fd028.m3u8
飞龙猛将/1988,https://api.heimuer.app/play/08432a1ae7164423884db872b197062a.m3u8
飞鹰计划/1991,https://api.heimuer.app/play/ca84357db38a4eceb1031f4b49a028fe.m3u8
福星高照/1985,https://api.heimuer.app/play/3e3bddd209324972b092b69ca24c096a.m3u8
功夫(国)/2004,https://api.heimuer.app/play/17054298de614a82904ae8cdea914fe8.m3u8
孤胆特工/2010,https://vip.ffzy-play6.com/20221126/8411_3fa5605e/index.m3u8
古今大战秦俑情/1989,https://api.heimuer.app/play/1c39d65b7ee644c2a6062fe15097fee8.m3u8
黄飞鸿/1991,https://api.heimuer.app/play/3aa3dd64621a401a8a7057c50b15e326.m3u8
黄飞鸿之二: 男儿当自强/1992,https://api.heimuer.app/play/0a1410fa9d4c436d8597e3aef1040bb6.m3u8
黄飞鸿之三: 狮王争霸/1992,https://api.heimuer.app/play/8e798b925ebb4abbb6078d37020113b3.m3u8
快餐车/1984,https://s2.fsvod1.com/20220226/yZp3TEs9/index.m3u8
龙兄虎弟/1987,https://s1.fsvod1.com/20220412/bwGNqGyY/index.m3u8
魔女/2018,https://vip.ffzy-play7.com/20221227/10061_4bb4b05e/index.m3u8
奇迹/1989,https://api.heimuer.app/play/d87e9b06652943a3b018c910984cf97c.m3u8
枪火/1999,https://vip.ffzy-play7.com/20221227/10065_b09200bc/index.m3u8
少林足球/2001,https://vip.ffzy-online.com/20221231/43323_e4a6f390/index.m3u8
生死谍变/1999,https://vip.ffzy-play7.com/20221225/9738_355a29a2/index.m3u8
铁雨/2017,https://vip.ffzy-play7.com/20221225/9740_19e285d4/index.m3u8
无间道/2002,https://api.heimuer.app/play/c99c2c99df3e41c4afef5daa3b75f846.m3u8
无间道2/2003,https://api.heimuer.app/play/4968f4a62d494b358e025ef472e0b710.m3u8
无间道3/2003,https://api.heimuer.app/play/1c8cbc2e2eae4dc59e18cfa6261ffd26.m3u8
新世界/2013,https://vip.ffzy-online2.com/20230418/33169_fdb1818c/index.m3u8
